Fiscal year,Diagnosis category,Sex,Age group: 5–9 years – Rate,Age group: 5–9 years – 95% CI,Age group: 10–14 years – Rate,Age group: 10–14 years – 95% CI,Age group: 15–17 years – Rate,Age group: 15–17 years – 95% CI,Age group: 18–24 years – Rate,Age group: 18–24 years – 95% CI,Age group: 5–24 years – Rate,Age group: 5–24 years – 95% CI
2018–2019,Neurocognitive disorders,Female,6,4–8,21,17–25,52,44–60,35,31–39,27,25–29
2018–2019,Neurocognitive disorders,Male,9,7–12,17,13–20,31,25–37,23,20–27,20,18–21
2018–2019,Neurocognitive disorders,Total,8,6–9,19,16–21,41,36–46,29,26–31,23,22–25
2018–2019,Substance-related disorders,Female,1,0–2,74,66–81,513,488–538,738,720–756,376,368–385
2018–2019,Substance-related disorders,Male,2,1–3,64,57–71,539,513–564,892,873–911,445,436–453
2018–2019,Substance-related disorders,Total,2,1–2,69,64–74,526,508–544,818,805–832,412,406–418
2018–2019,Schizophrenic and psychotic disorders,Female,1,0–2,14,11–17,67,58–76,117,110–125,59,55–62
2018–2019,Schizophrenic and psychotic disorders,Male,3,2–4,12,9–15,93,83–104,289,278–300,131,127–136
2018–2019,Schizophrenic and psychotic disorders,Total,2,1–3,13,11–15,81,74–88,207,200–214,96,93–99
2018–2019,Mood disorders,Female,5,3–7,369,353–386,1149,"1,111–1,187",764,745–783,546,537–556
2018–2019,Mood disorders,Male,14,11–17,134,124–144,514,489–539,503,489–518,305,298–313
2018–2019,Mood disorders,Total,10,8–11,249,239–258,824,802–847,628,616–640,422,416–428
2018–2019,Anxiety disorders,Female,46,40–52,302,287–317,784,753–816,807,788–826,506,496–515
2018–2019,Anxiety disorders,Male,44,38–49,135,125–145,390,369–412,528,513–543,306,298–313
2018–2019,Anxiety disorders,Total,45,41–49,216,208–225,583,564–602,662,650–674,402,397–408
2018–2019,Personality disorders,Female,1,0–2,15,12–18,98,87–109,161,153–170,80,76–84
2018–2019,Personality disorders,Male,2,1–4,6,4–8,18,13–22,49,44–53,24,22–26
2018–2019,Personality disorders,Total,2,1–3,10,8–12,57,51–63,102,98–107,51,49–53
2018–2019,Other disorders,Female,87,79–95,529,510–549,1102,"1,065–1,140",702,684–720,573,563–583
2018–2019,Other disorders,Male,204,191–216,384,368–401,636,608–663,488,474–503,418,410–427
