Fiscal year,Diagnosis category,Sex,Age group: 5–9 years Rate,Age group: 5–9 years 95% CI,Age group: 10–14 years Rate,Age group: 10–14 years 95% CI,Age group: 15–17 years Rate,Age group: 15–17 years 95% CI,Age group: 18–24 years Rate,Age group: 18–24 years 95% CI,Age group: 5–24 years Rate,Age group: 5–24 years 95% CI
2023–2024,Neurocognitive disorders,Female,0,0–0,0.4,0–1,1.6,1–3,1.6,1–2,0.9,1–1
2023–2024,Neurocognitive disorders,Male,0.1,0–0,0.8,0–1,1.3,0–2,1.5,1–2,1,1–1
2023–2024,Neurocognitive disorders,Total,0,0–0,0.6,0–1,1.5,1–2,1.6,1–2,1,1–1
2023–2024,Substance-related disorders,Female,0,0–0,11.4,9–13,54,48–60,95.7,91–100,47.1,45–49
2023–2024,Substance-related disorders,Male,0.3,0–1,5.8,4–7,56.3,51–62,127.1,122–132,59,57–61
2023–2024,Substance-related disorders,Total,0.1,0–0,8.5,7–10,55.1,51–59,112.1,109–116,53.3,52–55
2023–2024,Schizophrenic and psychotic disorders,Female,0.1,0–0,9.2,7–11,44,39–49,84.3,80–89,40.8,39–43
2023–2024,Schizophrenic and psychotic disorders,Male,0.2,0–0,5.9,4–7,59.4,54–65,168.7,163–175,75.7,73–78
2023–2024,Schizophrenic and psychotic disorders,Total,0.1,0–0,7.5,6–9,51.9,48–56,128.3,125–132,58.9,57–60
2023–2024,Mood disorders,Female,0.7,0–1,113.9,107–120,291.3,278–305,169.8,164–176,134.3,131–138
2023–2024,Mood disorders,Male,0.7,0–1,26.9,24–30,121.8,113–130,112.7,108–118,67.8,65–70
2023–2024,Mood disorders,Total,0.7,0–1,69.1,66–73,204.1,196–212,140.1,136–144,99.9,98–102
2023–2024,Anxiety disorders,Female,1.5,1–2,51.7,47–56,106.4,98–114,27.1,25–30,38.4,37–40
2023–2024,Anxiety disorders,Male,2.2,1–3,12.4,10–15,30.7,26–35,16.4,15–18,14.2,13–15
2023–2024,Anxiety disorders,Total,1.9,1–2,31.5,29–34,67.4,63–72,21.5,20–23,25.9,25–27
2023–2024,Personality disorders,Female,0.4,0–1,24.7,22–28,96.7,89–104,119.5,114–125,65.7,63–68
2023–2024,Personality disorders,Male,0.2,0–0,2.9,2–4,11.6,9–14,34.9,32–38,16,15–17
2023–2024,Personality disorders,Total,0.3,0–1,13.5,12–15,52.9,49–57,75.4,73–78,40,39–41
2023–2024,Other disorders,Female,14.1,12–16,249.7,240–259,438.7,422–455,156.4,150–162,186,182–190
2023–2024,Other disorders,Male,26.9,24–30,109.1,103–115,193.4,183–204,94.2,90–99,96.4,94–99
2023–2024,Other disorders,Total,20.7,19–23,177.4,172–183,312.4,303–322,124,120–128,139.7,137–142
2023–2024,   Trauma- and stressor-related disorders,Female,1.6,1–2,126.7,120–133,238.9,227–251,90.6,86–95,99.7,97–103
2023–2024,   Trauma- and stressor-related disorders,Male,3.3,2–4,31.5,28–35,88.4,81–96,51.5,48–55,40.9,39–43
2023–2024,   Trauma- and stressor-related disorders,Total,2.5,2–3,77.7,74–81,161.5,155–168,70.2,67–73,69.3,68–71
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,1.5,1–2,23.3,20–26,26.7,23–31,3.5,3–4,11.1,10–12
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,6,5–7,21.6,19–24,22,18–26,4.6,4–6,11.4,10–12
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,3.8,3–5,22.4,20–24,24.3,22–27,4.1,3–5,11.3,11–12
2023–2024,   Eating and feeding disorders,Female,2.7,2–4,51,47–55,104.5,97–112,16.9,15–19,34.3,33–36
2023–2024,   Eating and feeding disorders,Male,1.1,0–2,6.7,5–8,12.5,10–15,1.4,1–2,4.1,4–5
2023–2024,   Eating and feeding disorders,Total,1.9,1–2,28.2,26–30,57.1,53–61,8.8,8–10,18.7,18–20
2023–2024,   Tic disorders,Female,0.4,0–1,1.5,1–2,0.9,0–2,0.1,0–0,0.6,0–1
2023–2024,   Tic disorders,Male,0.6,0–1,1.3,1–2,0.6,0–1,0.2,0–0,0.6,0–1
2023–2024,   Tic disorders,Total,0.5,0–1,1.4,1–2,0.8,0–1,0.1,0–0,0.6,0–1
2023–2024,   ADHD,Female,3,2–4,28.1,25–31,29,25–33,1.8,1–2,12.3,11–13
2023–2024,   ADHD,Male,9.3,7–11,27.8,25–31,29.6,26–34,3.7,3–5,14.4,13–15
2023–2024,   ADHD,Total,6.2,5–7,28,26–30,29.3,26–32,2.8,2–3,13.4,13–14
