Age group,Sex,2018–2019 Rate,2018–2019 95% CI,2019–2020 Rate,2019–2020 95% CI,2020–2021 Rate,2020–2021 95% CI,2021–2022 Rate,2021–2022 95% CI,2022–2023 Rate,2022–2023 95% CI,2023–2024 Rate,2023–2024 95% CI
Age 5–9,Female,7304,"7,243–7,366",7559,"7,497–7,622",7399,"7,337–7,461",8162,"8,097–8,226",8501,"8,436–8,567",9044,"8,977–9,111"
Age 5–9,Male,13538,"13,456–13,620",13911,"13,828–13,993",12753,"12,674–12,831",13888,"13,806–13,970",14601,"14,517–14,684",15515,"15,430–15,600"
Age 5–9,Total,10500,"10,449–10,552",10819,"10,767–10,871",10150,"10,100–10,201",11103,"11,050–11,155",11632,"11,578–11,685",12363,"12,308–12,417"
Age 10–14,Female,10570,"10,496–10,644",11227,"11,151–11,303",11976,"11,898–12,054",14050,"13,966–14,134",13705,"13,623–13,787",13168,"13,088–13,248"
Age 10–14,Male,13677,"13,595–13,759",14180,"14,097–14,263",13358,"13,279–13,438",14561,"14,478–14,644",14890,"14,807–14,973",15210,"15,127–15,293"
Age 10–14,Total,12162,"12,107–12,218",12746,"12,689–12,802",12689,"12,633–12,744",14314,"14,255–14,373",14316,"14,258–14,375",14220,"14,163–14,278"
Age 15–17,Female,19645,"19,515–19,775",20417,"20,285–20,549",20639,"20,507–20,771",24461,"24,317–24,606",24180,"24,038–24,321",22700,"22,566–22,835"
Age 15–17,Male,14649,"14,539–14,759",15089,"14,978–15,199",13723,"13,618–13,828",15294,"15,184–15,405",15646,"15,536–15,757",15484,"15,376–15,592"
Age 15–17,Total,17086,"17,001–17,171",17684,"17,598–17,770",17078,"16,995–17,162",19720,"19,630–19,810",19776,"19,687–19,865",18977,"18,891–19,063"
Age 18–24,Female,22157,"22,074–22,240",22509,"22,425–22,592",23448,"23,363–23,534",26720,"26,627–26,812",25080,"24,993–25,168",23139,"23,057–23,221"
Age 18–24,Male,14640,"14,576–14,705",14751,"14,686–14,816",13968,"13,905–14,032",15544,"15,476–15,612",14692,"14,627–14,756",13594,"13,534–13,655"
Age 18–24,Total,18235,"18,182–18,287",18465,"18,413–18,517",18524,"18,471–18,576",20923,"20,867–20,980",19677,"19,623–19,731",18153,"18,102–18,203"
Total age 5–24,Female,15605,"15,562–15,649",16074,"16,030–16,118",16566,"16,521–16,610",18932,"18,884–18,980",18354,"18,308–18,401",17480,"17,435–17,525"
Total age 5–24,Male,14164,"14,124–14,204",14471,"14,431–14,512",13508,"13,469–13,547",14883,"14,842–14,924",14853,"14,813–14,894",14673,"14,633–14,712"
Total age 5–24,Total,14861,"14,832–14,891",15246,"15,216–15,276",14986,"14,956–15,015",16840,"16,809–16,872",16545,"16,514–16,575",16027,"15,997–16,057"
