Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,402,379,342–416
Total patients with mental disorders,293,276,244–308
Patients with 3 or more stays a year,20,,
Median length of stay (days),6,,
Female patients,175,342,292–393
Male patients,116,211,172–249
Patients age 5–9,5,21,3–40
Patients age 10–14,42,164,114–213
Patients age 15–17,48,295,212–379
Patients age 18–24,198,485,418–553
Patients with neurocognitive disorders,n/r,1,-1–3
Patients with substance-related disorders,37,35,24–46
Patients with schizophrenic and psychotic disorders,43,40,28–53
Patients with mood disorders,45,42,30–55
Patients with anxiety disorders,18,17,9–25
Patients with personality disorders,59,56,41–70
Patients with other disorders,123,116,95–136
Patients with trauma- and stressor-related disorders,63,59,45–74
"Patients with disruptive, impulse control and conduct disorders",5,5,1–9
Patients with eating and feeding disorders,26,24,15–34
Patients with tic disorders,0,0,0–0
Patients with ADHD,n/r,4,0–7
Patients residing in urban areas,172,273,232–313
Patients residing in rural/remote areas,113,262,214–311
Patients residing in income quintile 1 (lowest income) neighbourhoods,57,309,229–389
Patients residing in income quintile 2 neighbourhoods,42,243,170–317
Patients residing in income quintile 3 neighbourhoods,59,306,228–385
Patients residing in income quintile 4 neighbourhoods,52,255,186–324
Patients residing in income quintile 5 (highest income) neighbourhoods,74,304,234–373
Patients residing in Eastern–Urban Zone,119,236,193–278
Patients residing in Eastern–Rural Zone,28,155,98–213
Patients residing in Central Zone,28,176,111–242
Patients residing in Western Zone,75,561,434–688
Patients residing in Labrador–Grenfell Zone,36,430,289–570
