Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,378,911,"819–1,003"
Total patients with mental disorders,242,583,510–657
Patients with 3 or more stays a year,28,,
Median length of stay (days),4,,
Female patients,144,712,596–828
Male patients,92,432,344–521
Patients age 5–9,6,70,14–127
Patients age 10–14,65,706,535–878
Patients age 15–17,61,1074,"805–1,344"
Patients age 18–24,110,608,494–721
Patients with neurocognitive disorders,0,0,0–0
Patients with substance-related disorders,31,75,48–101
Patients with schizophrenic and psychotic disorders,23,55,33–78
Patients with mood disorders,107,258,209–307
Patients with anxiety disorders,25,60,37–84
Patients with personality disorders,11,26,11–42
Patients with other disorders,100,241,194–288
Patients with trauma- and stressor-related disorders,57,137,102–173
"Patients with disruptive, impulse control and conduct disorders",9,22,8–36
Patients with eating and feeding disorders,9,22,8–36
Patients with tic disorders,0,0,0–0
Patients with ADHD,13,31,14–48
Patients residing in urban areas,155,555,468–642
Patients residing in rural/remote areas,77,567,440–694
Patients residing in income quintile 1 (lowest income) neighbourhoods,58,775,576–974
Patients residing in income quintile 2 neighbourhoods,48,696,499–893
Patients residing in income quintile 3 neighbourhoods,43,611,429–794
Patients residing in income quintile 4 neighbourhoods,50,700,506–894
Patients residing in income quintile 5 (highest income) neighbourhoods,33,420,277–564
