Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,625,281,259–303
Total patients with mental disorders,483,217,198–236
Patients with 3 or more stays a year,29,,
Median length of stay (days),7,,
Female patients,251,234,205–263
Male patients,231,200,174–226
Patients age 5–9,5,10,1–19
Patients age 10–14,60,115,86–144
Patients age 15–17,86,278,219–336
Patients age 18–24,332,373,333–413
Patients with neurocognitive disorders,n/r,1,0–2
Patients with substance-related disorders,106,48,39–57
Patients with schizophrenic and psychotic disorders,89,40,32–48
Patients with mood disorders,76,34,26–42
Patients with anxiety disorders,17,8,4–11
Patients with personality disorders,46,21,15–27
Patients with other disorders,181,81,69–93
Patients with trauma- and stressor-related disorders,75,34,26–41
"Patients with disruptive, impulse control and conduct disorders",12,5,2–8
Patients with eating and feeding disorders,36,16,11–21
Patients with tic disorders,n/r,0,0–1
Patients with ADHD,8,4,1–6
Patients residing in urban areas,317,194,173–216
Patients residing in rural/remote areas,145,243,204–283
Patients residing in income quintile 1 (lowest income) neighbourhoods,131,294,243–344
Patients residing in income quintile 2 neighbourhoods,102,264,213–315
Patients residing in income quintile 3 neighbourhoods,83,219,171–266
Patients residing in income quintile 4 neighbourhoods,82,204,160–248
Patients residing in income quintile 5 (highest income) neighbourhoods,64,141,106–175
Patients residing in Western Zone,93,233,186–281
Patients residing in Northern Zone,60,187,140–234
Patients residing in Eastern Zone,99,272,218–325
Patients residing in Central Zone,213,187,161–212
