Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,19838,549,541–556
Total patients with mental disorders,13647,378,371–384
Patients with 3 or more stays a year,1256,,
Median length of stay (days),5,,
Female patients,8081,465,455–475
Male patients,5529,295,287–302
Patients age 5–9,132,17,14–19
Patients age 10–14,2556,310,298–322
Patients age 15–17,3641,718,695–742
Patients age 18–24,7318,492,481–503
Patients with neurocognitive disorders,48,1,1–2
Patients with substance-related disorders,1531,42,40–44
Patients with schizophrenic and psychotic disorders,2059,57,54–59
Patients with mood disorders,4409,122,118–126
Patients with anxiety disorders,1043,29,27–31
Patients with personality disorders,1490,41,39–43
Patients with other disorders,5040,139,136–143
Patients with trauma- and stressor-related disorders,2260,62,60–65
"Patients with disruptive, impulse control and conduct disorders",462,13,12–14
Patients with eating and feeding disorders,768,21,20–23
Patients with tic disorders,11,0,0–0
Patients with ADHD,587,16,15–18
Patients residing in urban areas,11769,358,351–364
Patients residing in rural/remote areas,1605,496,472–520
Patients residing in income quintile 1 (lowest income) neighbourhoods,3497,547,529–565
Patients residing in income quintile 2 neighbourhoods,2669,442,426–459
Patients residing in income quintile 3 neighbourhoods,2472,371,356–385
Patients residing in income quintile 4 neighbourhoods,2431,346,332–360
Patients residing in income quintile 5 (highest income) neighbourhoods,2301,315,302–328
Patients residing in West Region,4085,394,382–406
Patients residing in Central Region,3218,325,314–336
Patients residing in Toronto Region,2106,311,298–324
Patients residing in East Region,2451,340,326–353
Patients residing in North East Region,1086,820,771–868
Patients residing in North West Region,488,867,790–944
