Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,1562,411,391–432
Total patients with mental disorders,1156,304,287–322
Patients with 3 or more stays a year,76,,
Median length of stay (days),8,,
Female patients,672,371,343–399
Male patients,482,243,221–264
Patients age 5–9,n/r,3,0–7
Patients age 10–14,169,187,159–215
Patients age 15–17,272,519,458–581
Patients age 18–24,712,486,451–522
Patients with neurocognitive disorders,n/r,1,0–2
Patients with substance-related disorders,223,59,51–66
Patients with schizophrenic and psychotic disorders,304,80,71–89
Patients with mood disorders,365,96,86–106
Patients with anxiety disorders,45,12,8–15
Patients with personality disorders,84,22,17–27
Patients with other disorders,263,69,61–78
Patients with trauma- and stressor-related disorders,146,38,32–45
"Patients with disruptive, impulse control and conduct disorders",n/r,0,0–1
Patients with eating and feeding disorders,25,7,4–9
Patients with tic disorders,n/r,1,0–2
Patients with ADHD,30,8,5–11
Patients residing in urban areas,706,264,244–283
Patients residing in rural/remote areas,433,386,350–422
Patients residing in income quintile 1 (lowest income) neighbourhoods,471,604,549–658
Patients residing in income quintile 2 neighbourhoods,209,312,270–354
Patients residing in income quintile 3 neighbourhoods,150,216,182–251
Patients residing in income quintile 4 neighbourhoods,122,185,152–218
Patients residing in income quintile 5 (highest income) neighbourhoods,177,252,215–289
Patients residing in Winnipeg—Churchill Health Region,581,279,256–302
Patients residing in Prairie Mountain Health Region,139,307,256–358
Patients residing in Interlake–Eastern Health Region,113,336,274–398
Patients residing in Northern Health Region,247,900,"788–1,012"
Patients residing in Southern Health Region,71,109,83–134
