Province/territory,2018–2019 N,2018–2019 Rate,2019–2020 N,2019–2020 Rate,2020–2021 N,2020–2021 Rate,2021–2022 N,2021–2022 Rate,2022–2023 N,2022–2023 Rate,2023–2024 N,2023–2024 Rate
Newfoundland and Labrador,513,482,489,463,423,404,454,438,387,369,293,276
Prince Edward Island,291,833,275,757,217,575,301,787,236,591,242,583
Nova Scotia,639,312,707,341,615,294,670,321,536,249,483,217
New Brunswick,1025,641,911,567,907,561,968,597,806,479,815,465
Quebec,7365,405,6952,377,6190,333,6811,368,6138,327,5707,296
Ontario,16958,497,15983,464,14718,427,16031,471,14584,417,13647,378
Manitoba,1260,357,1281,360,1162,326,1283,357,1180,321,1156,304
Saskatchewan,2027,693,1900,644,1570,531,1735,586,1758,585,1464,470
Alberta,4944,466,4970,462,4886,449,5150,472,4610,413,4396,378
British Columbia,5645,511,5871,523,5604,500,6135,555,5423,474,5103,432
Yukon,75,847,75,840,66,724,63,672,62,638,41,412
Northwest Territories,138,1172,155,1335,142,1229,156,1354,124,1076,107,926
Nunavut,130,914,137,947,123,841,147,1003,143,954,157,1036
Canada,41114,479,39800,458,36722,421,40023,463,36086,407,33692,368
