Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,2005,644,615–672
Total patients with mental disorders,1464,470,446–494
Patients with 3 or more stays a year,108,,
Median length of stay (days),8,,
Female patients,911,607,567–646
Male patients,553,343,314–371
Patients age 5–9,8,10,3–17
Patients age 10–14,229,284,247–321
Patients age 15–17,376,822,739–905
Patients age 18–24,851,808,754–862
Patients with neurocognitive disorders,n/r,1,0–2
Patients with substance-related disorders,369,118,106–131
Patients with schizophrenic and psychotic disorders,187,60,51–69
Patients with mood disorders,431,138,125–151
Patients with anxiety disorders,66,21,16–26
Patients with personality disorders,145,46,39–54
Patients with other disorders,455,146,133–159
Patients with trauma- and stressor-related disorders,184,59,51–68
"Patients with disruptive, impulse control and conduct disorders",32,10,7–14
Patients with eating and feeding disorders,34,11,7–15
Patients with tic disorders,n/r,0,0–1
Patients with ADHD,115,37,30–44
Patients residing in urban areas,928,445,416–473
Patients residing in rural/remote areas,499,486,443–528
Patients residing in income quintile 1 (lowest income) neighbourhoods,486,746,680–813
Patients residing in income quintile 2 neighbourhoods,291,530,469–591
Patients residing in income quintile 3 neighbourhoods,243,421,368–474
Patients residing in income quintile 4 neighbourhoods,207,360,311–409
Patients residing in income quintile 5 (highest income) neighbourhoods,193,329,283–376
Patients residing in Far North Zone,96,768,614–922
Patients residing in North Central West Zone,138,542,451–632
Patients residing in North Central East Zone,187,538,461–615
Patients residing in Saskatoon Zone,329,358,320–397
Patients residing in South West Zone,125,393,324–462
Patients residing in South East Zone,214,484,420–549
Patients residing in Regina Zone,355,500,448–552
