Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,7486,634,620–649
Total patients with mental disorders,5103,432,420–444
Patients with 3 or more stays a year,473,,
Median length of stay (days),4,,
Female patients,2987,520,501–539
Male patients,2097,346,331–361
Patients age 5–9,81,31,25–38
Patients age 10–14,840,313,292–334
Patients age 15–17,1234,736,695–777
Patients age 18–24,2948,607,585–629
Patients with neurocognitive disorders,11,1,0–1
Patients with substance-related disorders,948,80,75–85
Patients with schizophrenic and psychotic disorders,818,69,65–74
Patients with mood disorders,1484,126,119–132
Patients with anxiety disorders,394,33,30–37
Patients with personality disorders,395,34,30–37
Patients with other disorders,1799,152,145–159
Patients with trauma- and stressor-related disorders,1002,85,80–90
"Patients with disruptive, impulse control and conduct disorders",108,9,7–11
Patients with eating and feeding disorders,239,20,18–23
Patients with tic disorders,5,0,0–1
Patients with ADHD,114,10,8–11
Patients residing in urban areas,4286,398,386–410
Patients residing in rural/remote areas,648,624,576–673
Patients residing in income quintile 1 (lowest income) neighbourhoods,1187,644,607–681
Patients residing in income quintile 2 neighbourhoods,1044,504,473–535
Patients residing in income quintile 3 neighbourhoods,897,422,394–449
Patients residing in income quintile 4 neighbourhoods,936,421,394–447
Patients residing in income quintile 5 (highest income) neighbourhoods,862,358,334–382
Patients residing in East Kootenay HSDA,82,434,340–528
Patients residing in Kootenay–Boundary HSDA,91,551,438–664
Patients residing in Okanagan HSDA,620,722,665–779
Patients residing in Thompson/Cariboo HSDA,341,656,586–725
Patients residing in Fraser East HSDA,468,550,501–600
Patients residing in Fraser North HSDA,568,339,311–367
Patients residing in Fraser South HSDA,540,215,197–233
Patients residing in Richmond HSDA,122,247,203–291
Patients residing in Vancouver HSDA,427,304,275–333
Patients residing in North Shore/Coast Garibaldi HSDA,240,344,301–388
Patients residing in South Vancouver Island HSDA,400,467,421–512
Patients residing in Central Vancouver Island HSDA,411,699,631–767
Patients residing in North Vancouver Island HSDA,126,470,388–553
Patients residing in Northwest HSDA,148,815,683–946
Patients residing in Northern Interior HSDA,269,748,658–837
Patients residing in Northeast HSDA,114,613,501–726
