Patients who visited the emergency department,N,Rate,95% CI
Total visits for mental disorders,464,4664,"4,240–5,089"
Total patients with mental disorders,222,2232,"1,938–2,525"
Patients with 3 or more visits a year,22,,
Female patients,122,2549,"2,096–3,001"
Male patients,100,1938,"1,558–2,317"
Patients age 5–9,n/r,40,-39–119
Patients age 10–14,38,1527,"1,041–2,012"
Patients age 15–17,44,3175,"2,237–4,113"
Patients age 18–24,139,3878,"3,234–4,523"
Patients with neurocognitive disorders,n/r,30,-4–64
Patients with substance-related disorders,97,975,"781–1,169"
Patients with schizophrenic and psychotic disorders,10,100,38–163
Patients with mood disorders,43,432,303–561
Patients with anxiety disorders,53,533,389–676
Patients with personality disorders,5,50,6–94
Patients with other disorders,43,432,303–561
   Patients with trauma- and stressor-related disorders,20,201,113–289
"   Patients with disruptive, impulse control and conduct disorders",6,60,12–109
Patients with eating and feeding disorders,n/r,40,1–80
Patients with tic disorders,0,0,0–0
Patients with ADHD,6,60,12–109
Patients residing in urban areas,169,2135,"1,813–2,457"
Patients residing in rural/remote areas,50,2728,"1,972–3,484"
