Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,64,643,486–801
Total patients with mental disorders,41,412,286–538
Patients with 3 or more stays a year,5,,
Median length of stay (days),3,,
Female patients,23,480,284–677
Male patients,18,349,188–510
Patients age 5–9,n/r,40,-39–119
Patients age 10–14,n/r,121,-16–257
Patients age 15–17,10,722,"274–1,169"
Patients age 18–24,27,753,"469–1,038"
Patients with neurocognitive disorders,0,0,0–0
Patients with substance-related disorders,9,90,31–150
Patients with schizophrenic and psychotic disorders,7,70,18–122
Patients with mood disorders,10,100,38–163
Patients with anxiety disorders,n/r,20,-8–48
Patients with personality disorders,n/r,10,-10–30
Patients with other disorders,18,181,97–265
   Patients with trauma- and stressor-related disorders,11,111,45–176
"   Patients with disruptive, impulse control and conduct disorders",0,0,0–0
Patients with eating and feeding disorders,n/r,20,-8–48
Patients with tic disorders,0,0,0–0
Patients with ADHD,n/r,20,-8–48
Patients residing in urban areas,30,379,243–515
Patients residing in rural/remote areas,9,491,170–812
