Province/territory,2018–2019 N,2018–2019 Rate,2019–2020 N,2019–2020 Rate,2020–2021 N,2020–2021 Rate,2021–2022 N,2021–2022 Rate,2022–2023 N,2022–2023 Rate,2023–2024 N,2023–2024 Rate
Newfoundland and Labrador,2700,2535,2448,2319,2022,1932,2008,1939,2085,1986,2096,1974
Prince Edward Island,751,2151,761,2095,655,1736,630,1648,656,1643,719,1732
Nova Scotia,4187,2044,3859,1863,3273,1567,3322,1593,3443,1597,3337,1499
New Brunswick,3758,2350,3611,2246,3028,1873,2941,1813,2979,1771,3051,1742
Quebec,34672,1905,33784,1833,27597,1484,28505,1541,29464,1569,29777,1544
Ontario,50732,1487,49196,1428,40310,1169,40826,1201,43134,1234,46171,1277
Manitoba,7697,2182,7485,2101,6539,1832,6390,1776,6306,1714,6185,1628
Saskatchewan,8195,2800,8205,2782,6981,2361,7128,2410,7034,2340,7059,2266
Alberta,20851,1963,20015,1860,17485,1608,17687,1621,18031,1615,18377,1581
British Columbia,16743,1514,16077,1433,13805,1232,13665,1236,14356,1256,14812,1255
Yukon,215,2429,202,2262,184,2017,184,1963,182,1874,161,1618
Northwest Territories,386,3279,332,2860,316,2735,274,2378,276,2394,263,2275
Nunavut,906,6369,676,4672,644,4403,759,5177,735,4905,696,4594
Canada,151942,1770,146843,1691,122994,1411,124469,1439,128899,1454,132963,1452
