Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,148,1280,"1,074–1,487"
Total patients with mental disorders,107,926,"750–1,101"
Patients with 3 or more stays a year,9,,
Median length of stay (days),4,,
Female patients,70,1218,"933–1,503"
Male patients,37,637,431–842
Patients age 5–9,0,0,0–0
Patients age 10–14,18,620,334–907
Patients age 15–17,28,1692,"1,065–2,319"
Patients age 18–24,61,1530,"1,146–1,913"
Patients with neurocognitive disorders,0,0,0–0
Patients with substance-related disorders,31,268,174–363
Patients with schizophrenic and psychotic disorders,13,112,51–174
Patients with mood disorders,24,208,125–291
Patients with anxiety disorders,n/r,17,-7–41
Patients with personality disorders,7,61,16–105
Patients with other disorders,48,415,298–533
   Patients with trauma- and stressor-related disorders,33,286,188–383
"   Patients with disruptive, impulse control and conduct disorders",n/r,26,-3–55
Patients with eating and feeding disorders,n/r,35,1–69
Patients with tic disorders,0,0,0–0
Patients with ADHD,n/r,26,-3–55
Patients residing in urban areas,33,619,408–830
Patients residing in rural/remote areas,72,1162,"893–1,430"
