Hospitalized patients,N,Rate,95% CI
Total stays for mental disorders,226,1492,"1,297–1,686"
Total patients with mental disorders,157,1036,"874–1,198"
Patients with 3 or more stays a year,14,,
Median length of stay (days),5,,
Female patients,85,1119,"881–1,357"
Male patients,72,953,"733–1,173"
Patients age 5–9,0,0,0–0
Patients age 10–14,20,501,281–721
Patients age 15–17,44,2079,"1,465–2,694"
Patients age 18–24,93,2010,"1,602–2,419"
Patients with neurocognitive disorders,n/r,13,-5–31
Patients with substance-related disorders,27,178,111–245
Patients with schizophrenic and psychotic disorders,45,297,210–384
Patients with mood disorders,34,224,149–300
Patients with anxiety disorders,7,46,12–80
Patients with personality disorders,n/r,20,-3–42
Patients with other disorders,58,383,284–481
Patients with trauma- and stressor-related disorders,39,257,177–338
"Patients with disruptive, impulse control and conduct disorders",n/r,20,-3–42
Patients with eating and feeding disorders,0,0,0–0
Patients with tic disorders,0,0,0–0
Patients with ADHD,0,0,0–0
Patients residing in urban areas,0,0,0–0
Patients residing in rural/remote areas,156,1030,"868–1,191"
