Age group,Sex,2018–2019 Rate,2018–2019 95% CI,2019–2020 Rate,2019–2020 95% CI,2020–2021 Rate,2020–2021 95% CI,2021–2022 Rate,2021–2022 95% CI,2022–2023 Rate,2022–2023 95% CI,2023–2024 Rate,2023–2024 95% CI
Age 5–9,Female,145,136–153,138,129–146,110,103–118,127,119–135,112,104–120,114,106–121
Age 5–9,Male,265,254–277,252,240–263,174,165–183,202,192–212,189,179–198,178,168–187
Age 5–9,Total,207,199–214,196,189–203,143,137–149,166,159–172,151,145–157,147,141–153
Age 10–14,Female,1136,"1,111–1,161",1099,"1,075–1,123",1080,"1,057–1,104",1354,"1,327–1,380",1170,"1,146–1,195",987,"965–1,010"
Age 10–14,Male,684,665–702,653,635–671,457,442–472,549,533–565,511,496–527,481,466–496
Age 10–14,Total,904,889–920,870,855–885,760,746–774,940,924–955,831,817–846,727,714–740
Age 15–17,Female,3007,"2,955–3,059",2823,"2,773–2,874",2303,"2,258–2,348",2895,"2,845–2,946",2498,"2,452–2,545",2163,"2,121–2,205"
Age 15–17,Male,1857,"1,817–1,897",1788,"1,749–1,827",1282,"1,249–1,315",1401,"1,367–1,435",1276,"1,243–1,308",1186,"1,156–1,217"
Age 15–17,Total,2419,"2,387–2,452",2294,"2,262–2,325",1779,"1,751–1,807",2126,"2,096–2,156",1869,"1,841–1,897",1660,"1,635–1,686"
Age 18–24,Female,2766,"2,736–2,796",2578,"2,549–2,607",2090,"2,064–2,116",2478,"2,449–2,506",2178,"2,151–2,204",1903,"1,878–1,927"
Age 18–24,Male,2334,"2,308–2,361",2181,"2,155–2,206",1758,"1,735–1,781",1845,"1,821–1,869",1672,"1,649–1,694",1461,"1,441–1,482"
Age 18–24,Total,2541,"2,521–2,561",2371,"2,352–2,391",1918,"1,900–1,935",2150,"2,131–2,169",1915,"1,898–1,932",1673,"1,657–1,688"
Total age 5–24,Female,1783,"1,768–1,798",1674,"1,659–1,688",1400,"1,387–1,413",1690,"1,676–1,705",1484,"1,471–1,498",1300,"1,287–1,312"
Total age 5–24,Male,1391,"1,378–1,404",1308,"1,296–1,320",1002,"991–1,013",1069,"1,058–1,081",984,973–994,892,882–902
Total age 5–24,Total,1581,"1,571–1,591",1485,"1,476–1,495",1195,"1,187–1,203",1370,"1,361–1,379",1226,"1,218–1,235",1089,"1,081–1,097"
